ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
48,92,2,2025-10-17,1,455,81,801,38,169,1,0
49,93,2,2026-07-28,1,445,15,801,9,170,1,0
50,93,1,2026-07-29,1,445,15,826,9,171,1,0
51,98,1,2025-08-02,1,446,19,325,10,178,1,0
52,98,1,2025-08-08,1,446,19,471,12,180,1,0
53,103,1,2025-03-19,1,448,34,670,16,186,1,0
54,104,2,2026-07-12,1,455,80,824,38,188,1,0
55,104,2,2026-05-25,1,455,80,1142,38,189,1,0
56,112,2,2026-05-04,1,454,71,334,34,200,1,0
57,115,2,2025-02-26,1,444,13,1106,6,203,1,0
58,120,1,2026-05-02,1,455,86,1153,37,209,1,0
59,123,1,2025-12-03,1,443,8,330,3,215,1,0
60,134,1,2026-06-11,1,448,35,1032,17,230,1,0
61,145,2,2026-02-26,1,455,81,13,39,248,1,0
62,145,2,2025-12-26,1,455,81,1152,39,249,1,0
63,147,1,2026-04-05,1,454,73,691,34,254,1,0
64,149,2,2025-08-05,1,444,11,479,5,256,1,0
65,149,1,2025-07-19,1,444,11,363,5,257,1,0
66,151,2,2025-05-23,1,457,96,301,43,259,1,0
67,152,2,2025-02-07,1,444,10,672,5,260,1,0
68,154,1,2026-08-13,1,455,82,160,38,265,1,0
69,154,1,2026-08-06,1,455,82,259,37,266,1,0
70,157,2,2025-04-16,1,455,85,688,37,277,1,0
71,158,1,2026-02-12,1,456,88,309,42,279,1,0
72,158,1,2026-01-18,1,456,88,860,42,280,1,0
73,161,2,2025-10-14,1,447,32,792,15,285,1,0
74,161,2,2025-11-13,1,447,32,131,14,286,1,0
75,162,2,2025-07-19,1,448,36,108,17,287,1,0
76,163,2,2026-01-04,1,447,32,547,15,289,1,0
77,164,1,2025-06-28,1,445,15,872,7,290,1,0
78,164,1,2025-07-12,1,445,15,1175,7,291,1,0
79,164,1,2025-06-19,1,445,15,816,7,292,1,0
80,165,1,2026-03-29,1,443,5,726,1,293,1,0
81,167,2,2026-03-15,1,457,91,433,45,295,1,0
82,168,2,2026-06-14,1,443,7,470,3,296,1,0
83,169,2,2025-12-01,1,450,47,197,24,298,1,0
84,169,1,2026-02-14,1,450,47,307,24,299,1,0
85,171,2,2025-07-13,1,456,90,811,41,301,1,0
86,171,2,2025-07-27,1,456,90,1017,41,302,1,0
87,173,1,2026-02-27,1,449,42,811,21,304,1,0
88,173,1,2026-04-06,1,449,42,497,21,305,1,0
89,183,1,2026-02-27,1,445,14,625,8,322,1,0
90,183,2,2026-03-09,1,445,14,1042,8,323,1,0
91,183,1,2026-02-13,1,445,14,555,8,324,1,0
92,185,1,2025-08-03,1,451,52,1129,25,327,1,0
93,185,1,2025-06-23,1,451,52,220,25,328,1,0
94,185,1,2025-08-06,1,451,52,90,25,329,1,0
95,191,1,2026-06-15,1,454,78,944,36,336,1,0
96,191,2,2026-06-08,1,454,78,1187,36,337,1,0
97,201,1,2025-10-14,1,453,69,671,33,352,1,0
98,204,2,2026-07-09,1,455,82,1072,39,355,1,0
99,204,1,2026-07-12,1,455,82,61,39,356,1,0
100,208,2,2026-06-18,1,451,50,141,27,367,1,0
101,209,1,2026-02-13,1,443,5,650,1,368,1,0
102,211,1,2026-07-11,1,449,40,349,20,377,1,0
103,216,2,2025-08-12,1,449,39,736,19,387,1,0
104,216,1,2025-08-22,1,449,39,783,19,388,1,0
105,218,2,2025-06-04,1,447,30,885,15,390,1,0
106,218,1,2025-04-26,1,447,30,136,15,391,1,0
107,224,2,2025-04-16,1,446,19,485,10,398,1,0
108,235,2,2026-01-02,1,454,75,758,35,416,1,0
109,248,2,2025-10-18,1,454,76,726,36,436,1,0
110,248,1,2025-12-15,1,454,76,340,36,437,1,0
111,249,1,2026-07-12,1,448,36,376,17,438,1,0
112,249,1,2026-07-05,1,448,36,723,18,439,1,0
113,252,2,2026-07-21,1,448,37,366,17,448,1,0
114,256,2,2026-05-01,1,457,94,484,44,457,1,0
115,261,2,2026-04-25,1,457,93,88,43,469,1,0
116,262,1,2026-09-01,1,455,81,789,37,470,1,0
117,266,2,2025-10-16,1,457,96,889,44,481,1,0
118,266,1,2025-10-08,1,457,96,522,44,482,1,0
119,269,2,2025-06-02,1,451,48,1016,26,485,1,0
120,269,1,2025-04-21,1,451,48,1017,26,486,1,0
121,276,1,2025-12-07,1,443,2,243,1,498,1,0
122,279,1,2026-01-12,1,451,53,765,26,505,1,0
123,279,2,2025-12-19,1,451,53,154,26,506,1,0
124,282,1,2026-04-18,1,446,21,1076,12,510,1,0
125,282,1,2026-04-11,1,446,21,990,12,511,1,0
126,284,1,2026-03-02,1,452,57,1042,30,514,1,0
127,286,2,2026-01-09,1,451,54,1020,26,516,1,0
128,288,2,2026-03-23,1,457,96,653,45,519,1,0
129,292,1,2026-01-12,1,455,79,681,39,528,1,0
130,295,1,2025-07-22,1,457,93,927,43,535,1,0
131,296,2,2026-08-06,1,454,75,202,34,537,1,0
132,296,1,2026-06-12,1,454,75,1001,34,538,1,0
133,296,2,2026-07-16,1,454,75,76,34,539,1,0
134,299,1,2025-07-02,1,443,7,1022,2,545,1,0
135,301,1,2025-12-13,1,451,50,467,26,550,1,0
136,305,2,2026-03-21,1,443,1,1078,2,558,1,0
137,311,2,2026-04-24,1,447,32,309,14,565,1,0
138,311,1,2026-05-05,1,447,32,321,15,566,1,0
139,316,1,2026-07-05,1,453,61,828,33,573,1,0
140,318,1,2026-01-27,1,447,27,77,15,576,1,0
141,323,1,2026-05-12,1,457,97,262,45,585,1,0
142,326,2,2026-08-24,1,449,39,399,19,590,1,0
143,327,2,2025-12-08,1,455,79,31,39,593,1,0
144,330,2,2026-01-31,1,443,8,594,2,596,1,0
145,332,1,2026-06-20,1,456,87,1167,41,599,1,0
146,333,2,2025-08-29,1,456,90,805,42,600,1,0
147,333,2,2025-07-26,1,456,90,452,42,601,1,0
148,334,2,2025-12-09,1,446,19,670,11,602,1,0
149,338,2,2025-03-07,1,451,48,126,26,611,1,0
150,338,2,2025-03-08,1,451,48,831,26,612,1,0
151,344,1,2026-07-04,1,451,52,940,25,624,1,0
152,345,2,2026-04-04,1,448,37,1008,16,625,1,0
153,345,2,2026-03-22,1,448,37,1169,17,626,1,0
154,346,2,2026-06-09,1,444,12,416,5,627,1,0
155,348,1,2026-04-07,1,448,34,887,16,631,1,0
156,348,2,2026-04-01,1,448,34,1032,16,632,1,0
157,356,1,2025-03-22,1,457,93,726,44,643,1,0
158,356,1,2025-02-22,1,457,93,615,44,644,1,0
159,360,2,2025-10-01,1,447,30,379,13,649,1,0
160,362,1,2025-11-19,1,455,80,1148,37,653,1,0
161,362,1,2025-12-01,1,455,80,437,37,654,1,0
162,363,1,2026-04-18,1,454,77,1118,35,655,1,0
163,371,2,2025-04-05,1,444,12,1057,5,669,1,0
164,376,2,2025-10-13,1,445,14,355,8,678,1,0
165,379,2,2026-01-01,1,453,67,1058,32,682,1,0
166,380,2,2026-06-22,1,454,75,41,34,683,1,0
167,383,1,2026-07-28,1,454,77,977,34,688,1,0
168,384,2,2026-06-14,1,452,58,577,29,690,1,0
169,384,1,2026-05-11,1,452,58,984,29,691,1,0
170,384,1,2026-06-06,1,452,58,632,29,692,1,0
171,394,2,2025-09-04,1,457,97,1009,43,709,1,0
172,394,2,2025-07-01,1,457,97,101,43,710,1,0
173,400,2,2026-04-22,1,451,56,567,27,720,1,0
174,400,1,2026-06-13,1,451,56,597,27,721,1,0
175,401,1,2026-07-23,1,449,42,354,21,723,1,0
176,406,2,2025-12-26,1,457,91,947,43,734,1,0
177,406,2,2025-12-13,1,457,91,539,43,735,1,0
178,406,2,2025-11-23,1,457,91,1099,43,736,1,0
179,408,1,2025-06-17,1,453,68,1062,32,739,1,0
180,415,2,2026-04-14,1,454,70,1149,34,747,1,0
181,415,2,2026-02-19,1,454,70,1177,34,748,1,0
182,416,1,2026-01-26,1,455,86,1187,38,749,1,0
183,418,2,2026-02-06,1,451,53,167,26,753,1,0
184,421,2,2026-07-10,1,450,44,373,22,759,1,0
185,423,2,2025-11-10,1,454,70,186,34,764,1,0
186,438,1,2025-03-23,1,447,32,841,15,785,1,0
187,441,1,2026-02-04,1,443,5,102,1,788,1,0
188,443,1,2025-12-22,1,451,52,119,26,794,1,0
189,447,1,2025-10-28,1,444,11,541,5,801,1,0
190,447,1,2025-10-29,1,444,11,209,5,802,1,0
191,460,2,2026-01-01,1,454,75,713,36,825,1,0
192,460,1,2026-02-16,1,454,75,796,36,826,1,0
193,460,1,2026-02-06,1,454,75,352,35,829,1,0
194,464,2,2026-01-20,1,443,1,1102,2,835,1,0
195,476,2,2025-08-11,1,454,71,444,34,867,1,0
196,476,2,2025-06-21,1,454,71,840,34,868,1,0
197,478,1,2026-06-09,1,447,27,114,15,872,1,0
198,484,2,2025-04-13,1,456,88,433,42,881,1,0
199,484,2,2025-04-04,1,456,88,191,42,882,1,0
200,489,1,2025-12-20,1,453,61,571,31,894,1,0
201,490,1,2026-02-23,1,447,32,1008,13,896,1,0
202,493,2,2026-04-22,1,457,96,755,45,901,1,0
203,495,2,2026-05-25,1,451,53,722,26,903,1,0
204,495,2,2026-07-16,1,451,53,60,26,904,1,0
205,507,2,2026-07-17,1,455,82,439,38,932,1,0
206,509,2,2026-03-20,1,456,87,924,40,936,1,0
207,511,1,2026-01-07,1,455,79,866,38,940,1,0
208,511,2,2026-02-12,1,455,79,187,38,941,1,0
209,511,1,2026-03-06,1,455,79,109,38,942,1,0
210,512,2,2026-02-12,1,445,14,831,9,943,1,0
211,514,1,2025-11-07,1,444,10,354,5,946,1,0
212,519,2,2025-10-03,1,457,93,292,45,958,1,0
213,525,1,2026-02-25,1,456,88,961,40,964,1,0
214,526,2,2026-01-09,1,455,79,797,39,965,1,0
215,526,1,2025-10-28,1,455,79,907,39,966,1,0
216,526,2,2025-11-24,1,455,79,907,39,967,1,0
217,531,2,2026-04-03,1,456,90,269,40,979,1,0
218,533,2,2026-03-20,1,454,78,62,36,983,1,0
219,536,2,2025-12-13,1,454,77,800,34,990,1,0
220,544,1,2025-07-05,1,454,71,560,35,1013,1,0
221,549,2,2026-07-01,1,451,51,1041,26,1020,1,0
222,549,2,2026-06-21,1,451,51,129,26,1021,1,0
223,551,2,2025-11-28,1,449,41,826,21,1028,1,0
224,551,1,2025-12-07,1,449,41,508,20,1029,1,0
225,556,2,2025-11-18,1,452,59,1009,30,1039,1,0
226,557,2,2025-03-20,1,457,96,819,45,1042,1,0
227,570,1,2026-06-27,1,453,63,87,32,1068,1,0
228,570,1,2026-06-14,1,453,63,1045,32,1069,1,0
229,570,2,2026-06-27,1,453,63,205,32,1070,1,0
230,570,2,2026-06-26,1,453,63,170,32,1072,1,0
231,570,2,2026-06-06,1,453,63,45,32,1073,1,0
232,570,1,2026-08-14,1,453,63,483,32,1075,1,0
233,593,2,2026-05-25,1,444,10,375,4,1116,1,0
234,598,1,2026-04-17,1,450,45,204,23,1123,1,0
235,599,2,2026-03-28,1,450,44,130,23,1124,1,0
236,600,1,2026-02-03,1,449,40,1044,20,1125,1,0
237,601,2,2025-03-29,1,451,48,524,25,1126,1,0
238,604,1,2026-01-29,1,445,15,802,9,1130,1,0
239,610,1,2025-11-02,1,444,11,109,4,1138,1,0
240,618,2,2025-09-22,1,446,18,106,11,1155,1,0
241,618,2,2025-08-10,1,446,18,921,10,1156,1,0
242,618,2,2025-07-28,1,446,18,395,11,1157,1,0
243,620,1,2025-10-09,1,451,53,453,26,1161,1,0
244,625,2,2025-01-26,1,444,10,889,4,1169,1,0
245,626,2,2026-04-25,1,443,4,768,1,1171,1,0
246,629,1,2026-05-17,1,451,52,1135,26,1174,1,0
247,638,2,2026-01-28,1,452,58,515,28,1187,1,0
248,638,2,2026-01-14,1,452,58,191,28,1188,1,0
249,640,1,2025-12-01,1,457,94,1055,43,1190,1,0
250,645,2,2026-04-30,1,455,82,855,38,1196,1,0
251,649,1,2025-02-27,1,457,92,924,44,1204,1,0
252,649,1,2025-02-01,1,457,92,336,43,1205,1,0
253,649,2,2025-01-26,1,457,92,958,45,1206,1,0
254,649,1,2025-02-20,1,457,92,1084,45,1207,1,0
255,653,2,2025-04-15,1,443,6,834,3,1214,1,0
256,653,2,2025-06-07,1,443,6,952,3,1215,1,0
257,653,2,2025-03-20,1,443,6,265,3,1216,1,0
258,654,1,2025-07-24,1,453,62,1090,31,1217,1,0
259,660,2,2025-07-04,1,455,82,897,39,1230,1,0
260,665,1,2026-06-10,1,446,21,324,11,1238,1,0
261,673,2,2026-03-18,1,454,76,26,36,1254,1,0
262,676,1,2026-04-23,1,454,73,227,35,1258,1,0
263,683,1,2026-01-10,1,454,75,458,36,1268,1,0
264,683,1,2026-03-04,1,454,75,137,34,1270,1,0
265,683,2,2026-03-07,1,454,75,812,35,1271,1,0
266,683,2,2026-01-21,1,454,75,336,34,1272,1,0
267,684,2,2025-12-02,1,452,57,555,28,1273,1,0
268,689,1,2025-08-11,1,453,68,69,31,1280,1,0
269,690,2,2026-07-10,1,449,41,469,20,1281,1,0
270,692,1,2025-09-14,1,453,65,415,31,1286,1,0
271,695,2,2025-03-16,1,447,31,1099,14,1289,1,0
272,699,1,2026-04-14,1,453,63,1024,32,1300,1,0
273,701,2,2025-12-24,1,457,96,197,45,1309,1,0
274,701,1,2025-12-24,1,457,96,263,45,1310,1,0
275,701,2,2025-11-07,1,457,96,42,45,1311,1,0
276,704,2,2025-08-01,1,454,75,86,36,1314,1,0
277,704,1,2025-06-17,1,454,75,371,36,1315,1,0
278,710,2,2025-12-03,1,455,83,126,39,1326,1,0
279,710,1,2026-01-18,1,455,83,96,39,1328,1,0
280,711,2,2026-05-17,1,446,26,71,12,1329,1,0
281,713,2,2026-05-10,1,456,87,1143,41,1332,1,0
282,714,1,2026-01-14,1,451,48,643,25,1333,1,0
283,717,1,2025-01-29,1,457,94,842,45,1342,1,0
284,718,1,2025-10-28,1,446,18,459,10,1343,1,0
285,721,2,2026-01-04,1,447,29,695,15,1347,1,0
286,721,1,2025-12-18,1,447,29,330,15,1348,1,0
287,722,2,2026-04-09,1,452,59,988,29,1350,1,0
288,722,1,2026-03-25,1,452,59,200,29,1351,1,0
289,723,2,2025-09-30,1,454,71,383,35,1352,1,0
290,723,2,2025-10-23,1,454,71,885,35,1353,1,0
291,725,2,2026-05-29,1,451,53,106,27,1356,1,0
292,725,2,2026-04-14,1,451,53,438,27,1357,1,0
293,726,1,2026-02-15,1,451,52,519,27,1358,1,0
294,728,1,2025-12-17,1,457,96,986,44,1363,1,0
295,732,1,2026-06-03,1,456,89,435,40,1370,1,0
296,732,1,2026-05-18,1,456,89,965,41,1371,1,0
297,734,2,2026-05-30,1,454,70,845,34,1373,1,0
298,735,2,2025-06-06,1,452,59,796,29,1377,1,0
299,735,1,2025-05-16,1,452,59,616,29,1379,1,0
300,739,1,2026-01-17,1,454,77,755,34,1383,1,0
301,741,2,2026-01-14,1,449,42,338,21,1387,1,0
302,741,2,2026-01-21,1,449,42,1134,21,1388,1,0
303,741,2,2026-01-15,1,449,42,71,21,1389,1,0
304,744,2,2026-01-24,1,453,69,1083,32,1393,1,0
305,744,2,2026-01-11,1,453,69,993,32,1394,1,0
306,746,2,2026-03-27,1,448,36,433,18,1396,1,0
307,749,2,2026-05-18,1,451,49,246,25,1399,1,0
308,751,1,2025-04-09,1,447,29,1141,13,1401,1,0
309,751,1,2025-04-15,1,447,29,181,13,1402,1,0
310,751,1,2025-03-23,1,447,29,738,13,1403,1,0
311,757,2,2025-04-05,1,443,6,402,1,1412,1,0
312,757,1,2025-05-05,1,443,6,575,1,1413,1,0
313,758,1,2026-01-14,1,446,25,277,12,1414,1,0
314,765,2,2026-07-18,1,443,7,733,2,1425,1,0
315,769,1,2025-04-02,1,453,68,971,31,1431,1,0
316,769,2,2025-02-03,1,453,68,815,31,1432,1,0
317,769,2,2025-04-19,1,453,68,551,31,1433,1,0
318,771,1,2025-06-13,1,453,65,389,31,1436,1,0
319,773,1,2026-04-04,1,455,83,491,38,1438,1,0
320,780,2,2026-04-24,1,453,69,648,33,1449,1,0
321,781,1,2025-05-17,1,443,4,578,2,1450,1,0
322,784,2,2026-05-11,1,443,9,1148,1,1454,1,0
323,784,1,2026-06-04,1,443,9,980,2,1455,1,0
324,787,1,2025-12-13,1,444,11,973,6,1461,1,0
325,787,2,2025-11-04,1,444,11,124,6,1462,1,0
326,792,2,2026-05-11,1,450,43,339,24,1470,1,0
327,792,2,2026-06-03,1,450,43,643,22,1471,1,0
328,800,1,2026-06-06,1,444,11,363,6,1484,1,0
329,815,2,2026-01-14,1,443,3,519,1,1513,1,0
330,824,1,2025-08-31,1,445,15,806,9,1529,1,0
331,825,1,2025-12-12,1,453,66,904,32,1530,1,0
332,825,2,2025-11-29,1,453,66,1014,32,1531,1,0
333,831,2,2025-10-07,1,443,2,381,3,1540,1,0
334,831,2,2025-11-27,1,443,2,48,3,1541,1,0
335,839,2,2025-09-13,1,446,18,695,11,1552,1,0
336,844,1,2025-08-16,1,451,50,1063,27,1565,1,0
337,844,1,2025-06-28,1,451,50,781,25,1566,1,0
338,853,1,2025-06-16,1,444,13,1056,5,1576,1,0
339,853,1,2025-07-02,1,444,13,884,5,1577,1,0
340,861,1,2025-07-18,1,454,78,1183,34,1592,1,0
341,866,1,2025-06-04,1,453,62,317,33,1599,1,0
342,869,2,2025-12-14,1,451,54,829,27,1606,1,0
343,869,2,2025-12-17,1,451,54,761,26,1607,1,0
344,873,2,2026-05-15,1,450,47,776,23,1612,1,0
345,873,1,2026-08-01,1,450,47,601,23,1613,1,0
346,879,1,2025-09-22,1,449,38,468,19,1624,1,0
347,884,1,2026-01-19,1,444,11,1045,5,1631,1,0
348,889,1,2026-06-17,1,453,62,271,33,1640,1,0
349,889,1,2026-05-17,1,453,62,94,33,1641,1,0
350,889,1,2026-06-17,1,453,62,948,33,1642,1,0
351,891,1,2025-09-23,1,443,9,1140,1,1646,1,0
352,893,1,2026-02-13,1,450,43,542,24,1650,1,0
353,900,1,2025-07-02,1,453,64,525,33,1663,1,0
354,905,2,2026-01-14,1,449,42,329,20,1675,1,0
355,907,2,2026-05-22,1,451,50,658,27,1679,1,0
356,913,2,2026-02-07,1,453,66,590,33,1687,1,0
357,913,1,2026-01-09,1,453,66,638,33,1688,1,0
358,913,2,2026-01-15,1,453,66,435,33,1689,1,0
359,916,2,2026-08-19,1,449,40,1174,20,1693,1,0
360,916,1,2026-07-06,1,449,40,852,21,1694,1,0
361,916,2,2026-06-28,1,449,40,1062,19,1695,1,0
362,916,1,2026-07-20,1,449,40,1066,21,1696,1,0
363,917,1,2025-07-30,1,454,75,266,36,1697,1,0
364,917,1,2025-07-07,1,454,75,779,36,1698,1,0
365,925,1,2026-01-07,1,446,24,197,12,1712,1,0
366,925,2,2025-12-22,1,446,24,694,12,1714,1,0
367,926,1,2025-04-19,1,451,48,698,25,1715,1,0
368,931,1,2026-05-28,1,452,60,64,29,1722,1,0
369,936,2,2025-09-17,1,446,20,1059,12,1729,1,0
370,936,2,2025-09-06,1,446,20,940,12,1730,1,0
371,936,2,2025-07-20,1,446,20,7,12,1731,1,0
372,939,1,2025-05-18,1,443,7,636,3,1735,1,0
373,939,2,2025-05-01,1,443,7,30,1,1737,1,0
374,940,2,2026-06-02,1,444,12,154,4,1738,1,0
375,944,1,2025-11-21,1,457,92,650,43,1743,1,0
376,952,1,2025-08-24,1,448,35,1105,17,1758,1,0
377,953,1,2025-07-29,1,446,26,1166,11,1759,1,0
378,954,2,2025-12-09,1,457,92,935,44,1760,1,0
379,955,1,2025-10-10,1,446,20,240,11,1761,1,0
380,962,2,2026-01-08,1,450,45,903,23,1772,1,0
381,962,2,2026-02-05,1,450,45,318,23,1773,1,0
382,962,2,2026-01-21,1,450,45,1033,23,1774,1,0
383,963,1,2025-04-01,1,446,25,387,12,1776,1,0
384,964,2,2025-10-22,1,457,93,551,44,1777,1,0
385,964,2,2025-10-31,1,457,93,126,44,1778,1,0
386,964,1,2025-10-19,1,457,93,265,44,1779,1,0
387,968,2,2025-07-13,1,449,40,134,19,1789,1,0
388,968,1,2025-06-27,1,449,40,232,19,1790,1,0
389,970,1,2025-10-09,1,449,40,578,19,1792,1,0
390,971,2,2025-08-02,1,451,48,263,25,1793,1,0
391,971,1,2025-06-01,1,451,48,1014,25,1794,1,0
392,973,2,2025-04-05,1,455,81,913,38,1797,1,0
393,977,1,2026-02-08,1,454,74,610,34,1803,1,0
394,978,1,2026-03-16,1,447,32,820,13,1804,1,0
395,982,2,2026-04-24,1,455,86,145,38,1808,1,0
396,982,2,2026-03-28,1,455,86,800,38,1809,1,0
397,982,2,2026-04-06,1,455,86,993,38,1810,1,0
398,982,2,2026-05-10,1,455,86,746,38,1811,1,0
399,987,2,2025-11-09,1,454,70,446,35,1819,1,0
400,987,2,2026-01-27,1,454,70,130,35,1820,1,0
401,987,2,2025-12-26,1,454,70,728,36,1821,1,0
402,987,1,2026-01-16,1,454,70,777,35,1822,1,0
403,987,1,2025-12-24,1,454,70,377,34,1823,1,0
404,987,2,2025-12-08,1,454,70,1172,36,1824,1,0
405,987,1,2025-12-17,1,454,70,593,34,1825,1,0
406,991,2,2025-07-02,1,455,83,768,37,1831,1,0
407,991,2,2025-08-29,1,455,83,1,39,1833,1,0
408,994,2,2026-08-06,1,455,80,682,37,1840,1,0
409,994,2,2026-06-10,1,455,80,757,37,1841,1,0
410,997,1,2026-03-22,1,446,22,518,12,1849,1,0
411,1003,1,2025-03-06,1,450,45,1176,23,1859,1,0
412,1005,2,2026-03-07,1,447,27,663,14,1861,1,0
413,1005,1,2026-03-16,1,447,27,659,14,1862,1,0
414,1005,2,2026-03-06,1,447,27,108,14,1863,1,0
415,1007,2,2026-01-23,1,455,82,758,39,1867,1,0
416,1014,1,2025-11-17,1,446,23,1105,12,1879,1,0
417,1018,1,2026-02-09,1,449,40,999,20,1885,1,0
418,1018,2,2026-01-28,1,449,40,250,20,1886,1,0
419,1019,2,2026-07-25,1,446,20,327,11,1887,1,0
420,1022,1,2026-06-18,1,443,4,576,3,1894,1,0
421,1022,2,2026-07-07,1,443,4,362,3,1895,1,0
422,1022,1,2026-07-01,1,443,4,729,3,1897,1,0
423,1028,2,2025-02-24,1,453,68,669,33,1912,1,0
424,1032,1,2026-06-12,1,444,10,759,5,1916,1,0
425,1055,2,2026-06-28,1,450,45,26,23,1955,1,0
426,1057,2,2025-12-07,1,457,91,1022,45,1957,1,0
427,1057,1,2026-01-01,1,457,91,439,44,1958,1,0
428,1057,2,2026-02-27,1,457,91,931,44,1959,1,0
429,1062,1,2025-06-16,1,449,39,638,21,1966,1,0
430,1062,2,2025-07-28,1,449,39,254,21,1967,1,0
431,1066,1,2025-07-24,1,456,90,709,40,1974,1,0
432,1067,2,2025-12-15,1,446,18,1077,12,1975,1,0
433,1068,1,2025-09-25,1,455,81,772,38,1977,1,0
434,1068,2,2025-11-26,1,455,81,63,38,1979,1,0
435,1068,2,2025-10-07,1,455,81,362,38,1980,1,0
436,1068,2,2025-11-28,1,455,81,118,38,1981,1,0
437,1068,1,2025-11-09,1,455,81,316,38,1982,1,0
438,1068,2,2025-11-30,1,455,81,380,38,1983,1,0
439,1069,2,2026-07-04,1,452,57,167,30,1984,1,0
440,1071,2,2025-12-03,1,449,42,123,20,1986,1,0
441,1073,2,2025-10-21,1,454,73,230,36,1989,1,0
442,1074,2,2025-03-17,1,453,63,786,31,1992,1,0
443,1075,1,2025-05-01,1,444,13,689,4,1993,1,0
444,1075,1,2025-03-21,1,444,13,57,4,1994,1,0
445,1075,2,2025-04-18,1,444,13,14,4,1997,1,0
446,1075,2,2025-04-10,1,444,13,802,4,1998,1,0
447,1080,1,2026-06-09,1,446,19,1079,11,2009,1,0
448,1080,2,2026-03-31,1,446,19,789,11,2010,1,0
449,1086,1,2025-11-25,1,443,9,364,2,2019,1,0
450,1086,1,2026-01-06,1,443,9,285,2,2020,1,0
451,1089,2,2026-05-14,1,450,47,816,23,2024,1,0
452,1096,2,2025-04-07,1,445,16,727,8,2035,1,0
453,1098,1,2026-06-21,1,443,6,352,2,2040,1,0
454,1105,2,2026-05-28,1,448,37,580,16,2051,1,0
455,1105,2,2026-07-27,1,448,37,245,16,2052,1,0
456,1108,2,2025-09-22,1,446,20,214,10,2056,1,0
457,1108,2,2025-10-27,1,446,20,1043,10,2057,1,0
458,1113,2,2025-06-12,1,448,37,1083,18,2064,1,0
459,1115,1,2025-04-22,1,457,95,406,45,2066,1,0
460,1116,2,2026-03-25,1,443,4,292,2,2068,1,0
461,1117,1,2026-03-26,1,452,60,625,29,2069,1,0
