CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
154,IPC,406,1,1
155,NDPS,20,1,1
156,IPC,304,1,1
157,IPC,307,1,1
158,ARMS,25,1,1
159,IPC,304B,1,1
160,ARMS,25,1,1
161,IPC,379,1,1
162,IPC,392,1,1
163,IPC,406,1,1
164,IPC,447,1,1
165,IPC,323,1,1
166,IPC,447,1,1
167,IPC,406,1,1
168,KE,32,1,1
169,IPC,392,1,1
170,IPC,498A,1,1
171,IPC,420,1,1
172,IPC,498A,1,1
173,IPC,363,1,1
173,IPC,365,2,2
174,IPC,498A,1,1
175,IPC,379,1,1
175,IPC,381,2,2
176,NDPS,20,1,1
177,IPC,366,1,1
178,IPC,447,1,1
179,IPC,302,1,1
180,IPC,489A,1,1
181,IPC,406,1,1
182,IPC,325,1,1
183,IPC,498A,1,1
184,IPC,302,1,1
185,IPC,457,1,1
185,IPC,380,2,2
186,IPC,307,1,1
187,IPC,447,1,1
188,IPC,406,1,1
189,IPC,468,1,1
190,IPC,468,1,1
191,IPC,325,1,1
192,IPC,379,1,1
192,IPC,381,2,2
193,IPC,354,1,1
194,IPC,468,1,1
195,IPC,302,1,1
196,IPC,392,1,1
197,IPC,498A,1,1
198,IPC,379,1,1
199,IPC,406,1,1
200,IPC,498A,1,1
201,IPC,302,1,1
202,IPC,498A,1,1
203,IPC,304B,1,1
204,IPC,420,1,1
205,NDPS,20,1,1
206,IPC,392,1,1
207,IPC,379,1,1
207,IPC,381,2,2
208,IPC,489A,1,1
209,KE,32,1,1
210,IPC,304,1,1
211,KP,87,1,1
212,IPC,325,1,1
213,NDPS,20,1,1
214,IPC,392,1,1
215,IPC,304B,1,1
216,IPC,379,1,1
216,IPC,381,2,2
217,IPC,304,1,1
218,IPC,395,1,1
219,IPC,457,1,1
219,IPC,380,2,2
220,KP,87,1,1
221,IPC,366,1,1
222,IPC,457,1,1
222,IPC,380,2,2
223,IPC,304,1,1
224,IPC,384,1,1
225,IPC,447,1,1
226,NDPS,20,1,1
227,NDPS,20,1,1
228,IPC,498A,1,1
229,IPC,354,1,1
230,IPC,498A,1,1
231,IPC,384,1,1
232,IPC,384,1,1
233,KP,87,1,1
234,IPC,379,1,1
234,IPC,381,2,2
235,IPC,406,1,1
236,IPC,457,1,1
236,IPC,380,2,2
237,IPC,323,1,1
238,IPC,395,1,1
239,KE,32,1,1
240,IPC,489A,1,1
241,IPC,304B,1,1
242,IPC,323,1,1
243,IPC,304,1,1
244,KP,87,1,1
245,IPC,457,1,1
245,IPC,380,2,2
246,IPC,325,1,1
247,KE,32,1,1
248,IPC,384,1,1
249,IPC,392,1,1
250,KE,32,1,1
251,ARMS,25,1,1
252,IPC,363,1,1
252,IPC,365,2,2
253,KP,87,1,1
254,IPC,395,1,1
255,NDPS,20,1,1
256,IPC,392,1,1
257,IPC,302,1,1
258,IPC,363,1,1
258,IPC,365,2,2
259,IPC,392,1,1
260,ARMS,25,1,1
261,IPC,379,1,1
261,IPC,381,2,2
262,IPC,304B,1,1
263,IPC,304B,1,1
264,IPC,366,1,1
265,IPC,468,1,1
266,IPC,307,1,1
267,KE,32,1,1
268,IPC,302,1,1
269,IPC,395,1,1
270,IPC,395,1,1
271,IPC,420,1,1
272,IPC,304,1,1
273,IPC,325,1,1
274,IPC,420,1,1
275,IPC,392,1,1
276,IPC,325,1,1
277,IPC,325,1,1
278,KP,87,1,1
279,IPC,304,1,1
280,IPC,379,1,1
281,IPC,384,1,1
282,IPC,489A,1,1
283,IPC,420,1,1
284,IPC,302,1,1
285,KE,32,1,1
286,IPC,406,1,1
287,IPC,323,1,1
288,ARMS,25,1,1
289,IPC,395,1,1
290,IPC,395,1,1
291,IPC,307,1,1
292,IPC,379,1,1
293,IPC,325,1,1
294,IPC,304,1,1
295,IPC,323,1,1
296,IPC,307,1,1
297,IPC,498A,1,1
298,IPC,406,1,1
299,IPC,323,1,1
300,KP,87,1,1
301,IPC,302,1,1
302,KE,32,1,1
303,KE,32,1,1
304,IPC,395,1,1
305,ARMS,25,1,1
306,NDPS,20,1,1
307,IPC,307,1,1
308,IPC,323,1,1
309,IPC,304,1,1
310,IPC,395,1,1
311,NDPS,20,1,1
312,IPC,379,1,1
312,IPC,381,2,2
313,IPC,304,1,1
314,IPC,498A,1,1
315,IPC,498A,1,1
316,KE,32,1,1
317,IPC,325,1,1
318,NDPS,20,1,1
319,ARMS,25,1,1
320,KP,87,1,1
321,IPC,302,1,1
322,IPC,304B,1,1
323,IPC,304B,1,1
324,IPC,302,1,1
325,IPC,384,1,1
326,IPC,457,1,1
326,IPC,380,2,2
327,NDPS,20,1,1
328,IPC,384,1,1
329,IPC,457,1,1
329,IPC,380,2,2
330,IPC,384,1,1
331,IPC,384,1,1
332,IPC,304,1,1
333,IPC,307,1,1
334,IPC,447,1,1
335,IPC,307,1,1
336,IPC,307,1,1
337,IPC,302,1,1
338,KE,32,1,1
339,IPC,457,1,1
339,IPC,380,2,2
340,IPC,392,1,1
341,IPC,498A,1,1
342,NDPS,20,1,1
343,KP,87,1,1
344,IPC,395,1,1
345,IPC,384,1,1
346,IPC,489A,1,1
347,KE,32,1,1
348,IPC,420,1,1
349,IPC,468,1,1
350,IPC,323,1,1
351,KP,87,1,1
352,IPC,489A,1,1
353,IPC,363,1,1
353,IPC,365,2,2
354,IPC,366,1,1
355,IPC,366,1,1
356,IPC,323,1,1
357,IPC,363,1,1
357,IPC,365,2,2
358,IPC,354,1,1
359,IPC,379,1,1
360,IPC,366,1,1
361,IPC,468,1,1
362,IPC,325,1,1
363,IPC,379,1,1
363,IPC,381,2,2
364,IPC,304,1,1
365,IPC,325,1,1
366,IPC,489A,1,1
367,IPC,325,1,1
368,IPC,447,1,1
369,IPC,323,1,1
370,IPC,379,1,1
370,IPC,381,2,2
371,IPC,498A,1,1
372,IPC,420,1,1
373,IPC,395,1,1
374,IPC,354,1,1
375,IPC,323,1,1
376,IPC,379,1,1
376,IPC,381,2,2
377,IPC,392,1,1
378,IPC,363,1,1
378,IPC,365,2,2
379,IPC,489A,1,1
380,IPC,379,1,1
381,KE,32,1,1
382,IPC,354,1,1
383,IPC,457,1,1
383,IPC,380,2,2
384,IPC,379,1,1
384,IPC,381,2,2
385,IPC,379,1,1
385,IPC,381,2,2
386,NDPS,20,1,1
387,ARMS,25,1,1
388,IPC,323,1,1
389,IPC,304,1,1
390,KP,87,1,1
391,IPC,392,1,1
392,IPC,468,1,1
393,IPC,304B,1,1
394,KE,32,1,1
395,KE,32,1,1
396,NDPS,20,1,1
397,ARMS,25,1,1
398,IPC,498A,1,1
399,IPC,489A,1,1
400,KE,32,1,1
401,IPC,406,1,1
402,IPC,304B,1,1
403,IPC,457,1,1
403,IPC,380,2,2
404,KP,87,1,1
405,IPC,420,1,1
406,IPC,363,1,1
406,IPC,365,2,2
407,ARMS,25,1,1
408,IPC,406,1,1
409,IPC,302,1,1
410,IPC,325,1,1
411,IPC,384,1,1
412,IPC,447,1,1
413,NDPS,20,1,1
414,ARMS,25,1,1
415,IPC,363,1,1
415,IPC,365,2,2
416,IPC,323,1,1
417,KP,87,1,1
418,IPC,392,1,1
419,IPC,457,1,1
419,IPC,380,2,2
420,IPC,498A,1,1
421,NDPS,20,1,1
422,IPC,406,1,1
423,ARMS,25,1,1
424,IPC,489A,1,1
425,IPC,304B,1,1
426,IPC,489A,1,1
427,IPC,366,1,1
428,KE,32,1,1
429,IPC,447,1,1
430,IPC,457,1,1
430,IPC,380,2,2
431,IPC,447,1,1
432,IPC,498A,1,1
433,IPC,379,1,1
434,IPC,302,1,1
435,IPC,323,1,1
436,IPC,379,1,1
437,IPC,489A,1,1
438,IPC,489A,1,1
439,IPC,366,1,1
440,NDPS,20,1,1
441,IPC,366,1,1
442,IPC,498A,1,1
443,IPC,363,1,1
443,IPC,365,2,2
444,IPC,447,1,1
445,IPC,498A,1,1
446,IPC,447,1,1
447,NDPS,20,1,1
448,KP,87,1,1
449,IPC,384,1,1
450,IPC,379,1,1
451,ARMS,25,1,1
452,IPC,302,1,1
453,KP,87,1,1
454,IPC,420,1,1
455,IPC,392,1,1
456,IPC,363,1,1
456,IPC,365,2,2
457,ARMS,25,1,1
458,IPC,447,1,1
459,IPC,379,1,1
460,IPC,379,1,1
461,IPC,325,1,1
462,IPC,379,1,1
463,KP,87,1,1
464,IPC,307,1,1
465,KP,87,1,1
466,IPC,304,1,1
467,IPC,325,1,1
468,KP,87,1,1
469,IPC,395,1,1
470,ARMS,25,1,1
471,IPC,498A,1,1
472,IPC,406,1,1
473,IPC,363,1,1
473,IPC,365,2,2
474,IPC,366,1,1
475,NDPS,20,1,1
476,KE,32,1,1
477,IPC,302,1,1
478,IPC,379,1,1
479,IPC,384,1,1
480,NDPS,20,1,1
481,IPC,325,1,1
482,ARMS,25,1,1
483,IPC,307,1,1
484,IPC,354,1,1
485,IPC,406,1,1
486,IPC,498A,1,1
487,IPC,302,1,1
488,IPC,379,1,1
488,IPC,381,2,2
489,IPC,457,1,1
489,IPC,380,2,2
490,IPC,395,1,1
491,IPC,354,1,1
492,NDPS,20,1,1
493,IPC,325,1,1
494,KP,87,1,1
495,IPC,304B,1,1
496,KE,32,1,1
497,IPC,379,1,1
497,IPC,381,2,2
498,IPC,420,1,1
499,IPC,489A,1,1
500,IPC,363,1,1
500,IPC,365,2,2
501,IPC,420,1,1
502,IPC,325,1,1
503,IPC,304,1,1
504,IPC,489A,1,1
505,IPC,379,1,1
505,IPC,381,2,2
506,NDPS,20,1,1
507,IPC,323,1,1
508,IPC,379,1,1
508,IPC,381,2,2
509,IPC,395,1,1
510,IPC,323,1,1
511,IPC,468,1,1
512,IPC,325,1,1
513,IPC,325,1,1
514,IPC,379,1,1
514,IPC,381,2,2
515,IPC,366,1,1
516,IPC,447,1,1
517,IPC,468,1,1
518,KP,87,1,1
519,IPC,379,1,1
519,IPC,381,2,2
520,IPC,363,1,1
520,IPC,365,2,2
521,IPC,498A,1,1
522,IPC,302,1,1
523,IPC,489A,1,1
524,IPC,379,1,1
524,IPC,381,2,2
525,IPC,468,1,1
526,IPC,392,1,1
527,ARMS,25,1,1
528,IPC,489A,1,1
529,IPC,325,1,1
530,IPC,489A,1,1
531,IPC,304,1,1
532,IPC,379,1,1
532,IPC,381,2,2
533,ARMS,25,1,1
534,IPC,489A,1,1
535,IPC,354,1,1
536,IPC,304B,1,1
537,IPC,384,1,1
538,KE,32,1,1
539,IPC,457,1,1
539,IPC,380,2,2
540,IPC,304,1,1
541,IPC,323,1,1
542,KP,87,1,1
543,IPC,304,1,1
544,IPC,325,1,1
545,IPC,379,1,1
546,KP,87,1,1
547,IPC,307,1,1
548,IPC,323,1,1
549,IPC,304,1,1
550,IPC,447,1,1
551,NDPS,20,1,1
552,IPC,304B,1,1
553,ARMS,25,1,1
554,NDPS,20,1,1
555,KP,87,1,1
556,IPC,304B,1,1
557,IPC,354,1,1
558,ARMS,25,1,1
559,IPC,384,1,1
560,NDPS,20,1,1
561,KE,32,1,1
562,KP,87,1,1
563,IPC,325,1,1
564,IPC,354,1,1
565,IPC,395,1,1
566,IPC,307,1,1
567,IPC,395,1,1
568,IPC,489A,1,1
569,IPC,366,1,1
570,IPC,366,1,1
571,IPC,304B,1,1
572,IPC,304,1,1
573,IPC,302,1,1
574,IPC,395,1,1
575,IPC,406,1,1
576,NDPS,20,1,1
577,KP,87,1,1
578,IPC,363,1,1
578,IPC,365,2,2
579,IPC,489A,1,1
580,IPC,489A,1,1
581,IPC,489A,1,1
582,NDPS,20,1,1
583,IPC,363,1,1
583,IPC,365,2,2
584,IPC,366,1,1
585,ARMS,25,1,1
586,IPC,363,1,1
586,IPC,365,2,2
587,IPC,395,1,1
588,IPC,406,1,1
589,IPC,379,1,1
590,ARMS,25,1,1
591,IPC,457,1,1
591,IPC,380,2,2
592,ARMS,25,1,1
593,IPC,420,1,1
594,KE,32,1,1
595,KE,32,1,1
596,IPC,395,1,1
597,IPC,406,1,1
598,IPC,384,1,1
599,IPC,304,1,1
600,IPC,366,1,1
601,IPC,420,1,1
602,IPC,304,1,1
603,NDPS,20,1,1
604,IPC,498A,1,1
605,KE,32,1,1
606,KP,87,1,1
607,KP,87,1,1
608,IPC,406,1,1
609,IPC,489A,1,1
610,IPC,498A,1,1
611,IPC,379,1,1
612,IPC,395,1,1
613,IPC,392,1,1
614,NDPS,20,1,1
615,IPC,379,1,1
615,IPC,381,2,2
616,NDPS,20,1,1
617,IPC,307,1,1
618,IPC,420,1,1
619,IPC,447,1,1
620,IPC,406,1,1
621,IPC,395,1,1
622,IPC,304B,1,1
623,NDPS,20,1,1
624,ARMS,25,1,1
625,IPC,325,1,1
626,IPC,468,1,1
627,IPC,379,1,1
627,IPC,381,2,2
628,IPC,366,1,1
629,KP,87,1,1
630,IPC,323,1,1
631,IPC,304B,1,1
632,IPC,489A,1,1
633,IPC,395,1,1
634,IPC,489A,1,1
635,IPC,307,1,1
636,IPC,302,1,1
637,IPC,354,1,1
638,KE,32,1,1
639,IPC,420,1,1
640,NDPS,20,1,1
641,IPC,392,1,1
642,IPC,307,1,1
643,IPC,302,1,1
644,IPC,457,1,1
644,IPC,380,2,2
645,IPC,379,1,1
646,ARMS,25,1,1
647,IPC,447,1,1
648,IPC,447,1,1
649,IPC,420,1,1
650,IPC,447,1,1
651,IPC,307,1,1
652,IPC,447,1,1
653,IPC,304,1,1
654,IPC,302,1,1
655,IPC,304B,1,1
656,IPC,325,1,1
657,IPC,420,1,1
658,IPC,406,1,1
659,IPC,307,1,1
660,IPC,420,1,1
661,KE,32,1,1
662,IPC,323,1,1
663,IPC,363,1,1
663,IPC,365,2,2
664,IPC,379,1,1
664,IPC,381,2,2
665,IPC,489A,1,1
666,IPC,420,1,1
667,IPC,379,1,1
667,IPC,381,2,2
668,NDPS,20,1,1
669,IPC,379,1,1
670,IPC,498A,1,1
671,IPC,304,1,1
672,IPC,457,1,1
672,IPC,380,2,2
673,IPC,384,1,1
674,IPC,325,1,1
675,IPC,395,1,1
676,IPC,384,1,1
677,IPC,304,1,1
678,NDPS,20,1,1
679,KE,32,1,1
680,ARMS,25,1,1
681,IPC,354,1,1
682,IPC,366,1,1
683,NDPS,20,1,1
684,IPC,363,1,1
684,IPC,365,2,2
685,IPC,420,1,1
686,KE,32,1,1
687,IPC,325,1,1
688,IPC,304B,1,1
689,IPC,304,1,1
690,IPC,457,1,1
690,IPC,380,2,2
691,IPC,323,1,1
692,IPC,468,1,1
693,IPC,304,1,1
694,IPC,406,1,1
695,IPC,304,1,1
696,IPC,392,1,1
697,IPC,447,1,1
698,IPC,304B,1,1
699,IPC,379,1,1
699,IPC,381,2,2
700,IPC,468,1,1
701,KE,32,1,1
702,IPC,366,1,1
703,IPC,392,1,1
704,IPC,379,1,1
705,IPC,379,1,1
705,IPC,381,2,2
706,IPC,354,1,1
707,IPC,323,1,1
708,IPC,498A,1,1
709,IPC,307,1,1
710,IPC,392,1,1
711,KE,32,1,1
712,IPC,392,1,1
713,IPC,307,1,1
714,IPC,325,1,1
715,IPC,457,1,1
715,IPC,380,2,2
716,IPC,307,1,1
717,IPC,302,1,1
718,ARMS,25,1,1
719,IPC,392,1,1
720,NDPS,20,1,1
721,IPC,392,1,1
722,IPC,447,1,1
723,IPC,304B,1,1
724,IPC,498A,1,1
725,IPC,304,1,1
726,IPC,366,1,1
727,IPC,420,1,1
728,IPC,457,1,1
728,IPC,380,2,2
729,IPC,447,1,1
730,IPC,468,1,1
731,NDPS,20,1,1
732,IPC,468,1,1
733,IPC,307,1,1
734,IPC,457,1,1
734,IPC,380,2,2
735,IPC,420,1,1
736,IPC,323,1,1
737,IPC,498A,1,1
738,IPC,354,1,1
739,IPC,307,1,1
740,IPC,392,1,1
741,KP,87,1,1
742,IPC,379,1,1
742,IPC,381,2,2
743,IPC,498A,1,1
744,IPC,392,1,1
745,IPC,307,1,1
746,IPC,392,1,1
747,NDPS,20,1,1
748,ARMS,25,1,1
749,IPC,379,1,1
750,IPC,406,1,1
751,KP,87,1,1
752,IPC,379,1,1
753,IPC,325,1,1
754,IPC,420,1,1
755,IPC,302,1,1
756,IPC,406,1,1
757,IPC,304,1,1
758,IPC,354,1,1
759,IPC,304,1,1
760,IPC,302,1,1
761,IPC,395,1,1
762,IPC,304B,1,1
763,IPC,302,1,1
764,IPC,354,1,1
765,IPC,304B,1,1
766,IPC,302,1,1
767,IPC,366,1,1
768,IPC,304,1,1
769,IPC,363,1,1
769,IPC,365,2,2
770,IPC,406,1,1
771,IPC,406,1,1
772,IPC,363,1,1
772,IPC,365,2,2
773,IPC,302,1,1
774,IPC,323,1,1
775,IPC,489A,1,1
776,IPC,379,1,1
776,IPC,381,2,2
777,IPC,379,1,1
778,IPC,307,1,1
779,IPC,379,1,1
780,IPC,304,1,1
781,IPC,307,1,1
782,IPC,325,1,1
783,NDPS,20,1,1
784,NDPS,20,1,1
785,NDPS,20,1,1
786,IPC,447,1,1
787,NDPS,20,1,1
788,IPC,406,1,1
789,IPC,395,1,1
790,IPC,498A,1,1
791,IPC,302,1,1
792,IPC,457,1,1
792,IPC,380,2,2
793,IPC,379,1,1
793,IPC,381,2,2
794,IPC,307,1,1
795,IPC,447,1,1
796,NDPS,20,1,1
797,IPC,468,1,1
798,IPC,323,1,1
799,IPC,325,1,1
800,NDPS,20,1,1
801,NDPS,20,1,1
802,IPC,406,1,1
803,KP,87,1,1
804,IPC,354,1,1
805,IPC,379,1,1
806,IPC,363,1,1
806,IPC,365,2,2
807,IPC,489A,1,1
808,IPC,420,1,1
809,IPC,325,1,1
810,IPC,468,1,1
811,KP,87,1,1
812,IPC,323,1,1
813,IPC,379,1,1
813,IPC,381,2,2
814,IPC,384,1,1
815,IPC,406,1,1
816,IPC,384,1,1
817,IPC,447,1,1
818,IPC,304,1,1
819,NDPS,20,1,1
820,IPC,489A,1,1
821,IPC,457,1,1
821,IPC,380,2,2
822,IPC,379,1,1
822,IPC,381,2,2
823,IPC,323,1,1
824,IPC,366,1,1
825,IPC,307,1,1
826,IPC,392,1,1
827,IPC,304,1,1
828,IPC,366,1,1
829,IPC,304,1,1
830,IPC,392,1,1
831,ARMS,25,1,1
832,IPC,363,1,1
832,IPC,365,2,2
833,IPC,304,1,1
834,IPC,384,1,1
835,IPC,406,1,1
836,IPC,447,1,1
837,IPC,447,1,1
838,IPC,366,1,1
839,NDPS,20,1,1
840,IPC,354,1,1
841,IPC,323,1,1
842,IPC,392,1,1
843,IPC,304B,1,1
844,IPC,325,1,1
845,IPC,392,1,1
846,IPC,447,1,1
847,IPC,420,1,1
848,IPC,354,1,1
849,IPC,457,1,1
849,IPC,380,2,2
850,NDPS,20,1,1
851,IPC,447,1,1
852,IPC,392,1,1
853,IPC,447,1,1
854,IPC,354,1,1
855,IPC,392,1,1
856,IPC,395,1,1
857,IPC,304B,1,1
858,IPC,384,1,1
859,IPC,379,1,1
860,IPC,304,1,1
861,IPC,379,1,1
861,IPC,381,2,2
862,IPC,304B,1,1
863,IPC,447,1,1
864,IPC,354,1,1
865,IPC,384,1,1
866,IPC,323,1,1
867,IPC,395,1,1
868,KP,87,1,1
869,IPC,325,1,1
870,IPC,379,1,1
871,IPC,323,1,1
872,IPC,392,1,1
873,IPC,392,1,1
874,IPC,392,1,1
875,IPC,489A,1,1
876,IPC,325,1,1
877,IPC,366,1,1
878,IPC,354,1,1
879,IPC,379,1,1
880,IPC,406,1,1
881,IPC,406,1,1
882,NDPS,20,1,1
883,IPC,302,1,1
884,NDPS,20,1,1
885,NDPS,20,1,1
886,IPC,420,1,1
887,IPC,406,1,1
888,KE,32,1,1
889,IPC,323,1,1
890,KE,32,1,1
891,ARMS,25,1,1
892,IPC,325,1,1
893,IPC,304B,1,1
894,NDPS,20,1,1
895,IPC,447,1,1
896,IPC,302,1,1
897,IPC,354,1,1
898,IPC,395,1,1
899,IPC,304B,1,1
900,IPC,379,1,1
900,IPC,381,2,2
901,IPC,395,1,1
902,IPC,304B,1,1
903,IPC,304,1,1
904,IPC,304,1,1
905,IPC,325,1,1
906,IPC,307,1,1
907,IPC,363,1,1
907,IPC,365,2,2
908,IPC,302,1,1
909,IPC,468,1,1
910,IPC,325,1,1
911,IPC,304,1,1
912,IPC,406,1,1
913,IPC,395,1,1
914,IPC,366,1,1
915,IPC,420,1,1
916,ARMS,25,1,1
917,KE,32,1,1
918,IPC,379,1,1
919,IPC,304,1,1
920,NDPS,20,1,1
921,KP,87,1,1
922,IPC,323,1,1
923,IPC,420,1,1
924,IPC,354,1,1
925,IPC,498A,1,1
926,IPC,392,1,1
927,IPC,447,1,1
928,IPC,406,1,1
929,IPC,447,1,1
930,NDPS,20,1,1
931,ARMS,25,1,1
932,IPC,363,1,1
932,IPC,365,2,2
933,IPC,457,1,1
933,IPC,380,2,2
934,IPC,323,1,1
935,IPC,395,1,1
936,IPC,489A,1,1
937,IPC,354,1,1
938,IPC,354,1,1
939,IPC,366,1,1
940,IPC,384,1,1
941,KP,87,1,1
942,IPC,392,1,1
943,IPC,304B,1,1
944,NDPS,20,1,1
945,IPC,489A,1,1
946,ARMS,25,1,1
947,IPC,363,1,1
947,IPC,365,2,2
948,NDPS,20,1,1
949,IPC,420,1,1
950,IPC,384,1,1
951,IPC,468,1,1
952,NDPS,20,1,1
953,KE,32,1,1
954,IPC,325,1,1
955,IPC,498A,1,1
956,KE,32,1,1
957,IPC,304,1,1
958,IPC,420,1,1
959,IPC,406,1,1
960,IPC,395,1,1
961,IPC,302,1,1
962,ARMS,25,1,1
963,IPC,354,1,1
964,IPC,354,1,1
965,IPC,489A,1,1
966,IPC,498A,1,1
967,IPC,304,1,1
968,IPC,325,1,1
969,IPC,323,1,1
970,IPC,307,1,1
971,KP,87,1,1
972,IPC,304,1,1
973,IPC,379,1,1
973,IPC,381,2,2
974,IPC,395,1,1
975,ARMS,25,1,1
976,IPC,468,1,1
977,IPC,363,1,1
977,IPC,365,2,2
978,KP,87,1,1
979,IPC,302,1,1
980,IPC,379,1,1
981,IPC,366,1,1
982,IPC,379,1,1
983,IPC,395,1,1
984,IPC,302,1,1
985,IPC,354,1,1
986,IPC,323,1,1
987,IPC,392,1,1
988,IPC,468,1,1
989,IPC,384,1,1
990,IPC,354,1,1
991,IPC,304,1,1
992,IPC,325,1,1
993,KE,32,1,1
994,IPC,354,1,1
995,IPC,447,1,1
996,IPC,302,1,1
997,IPC,489A,1,1
998,KP,87,1,1
999,IPC,392,1,1
1000,IPC,366,1,1
1001,IPC,379,1,1
1002,IPC,302,1,1
1003,IPC,468,1,1
1004,IPC,379,1,1
1005,IPC,363,1,1
1005,IPC,365,2,2
1006,IPC,307,1,1
1007,IPC,354,1,1
1008,IPC,379,1,1
1008,IPC,381,2,2
1009,NDPS,20,1,1
1010,IPC,498A,1,1
1011,IPC,323,1,1
1012,IPC,420,1,1
1013,IPC,304B,1,1
1014,KP,87,1,1
1015,IPC,406,1,1
1016,ARMS,25,1,1
1017,IPC,498A,1,1
1018,IPC,395,1,1
1019,IPC,323,1,1
1020,IPC,457,1,1
1020,IPC,380,2,2
1021,IPC,498A,1,1
1022,IPC,354,1,1
1023,IPC,384,1,1
1024,NDPS,20,1,1
1025,IPC,302,1,1
1026,IPC,325,1,1
1027,IPC,304B,1,1
1028,IPC,395,1,1
1029,IPC,498A,1,1
1030,IPC,489A,1,1
1031,IPC,307,1,1
1032,ARMS,25,1,1
1033,IPC,304,1,1
1034,KE,32,1,1
1035,IPC,489A,1,1
1036,ARMS,25,1,1
1037,IPC,498A,1,1
1038,IPC,457,1,1
1038,IPC,380,2,2
1039,IPC,457,1,1
1039,IPC,380,2,2
